Id,AssessmentTaskDefinitionId,AssessmentTaskDefinition.Name,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,$$AssessmentTaskDefinition.Name$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name,AssessmentIndDefinition.$$Name$Category__c$PHOCSParentId__r.Name
0dtbZ0000002z03QAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V2rQAE,Thermometers not adequately submerged.,Pasteurization - Vat/holder,All products are pasteurized.,Pasteurization - Vat/holder;Thermometers not adequately submerged.;Pasteurization - Vat/holder;All products are pasteurized.,Thermometers not adequately submerged.;Pasteurization - Vat/holder;All products are pasteurized.
0dtbZ0000002z04QAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V2sQAE,Inadequate agitation or foam formation.,Pasteurization - Vat/holder,All products are pasteurized.,Pasteurization - Vat/holder;Inadequate agitation or foam formation.;Pasteurization - Vat/holder;All products are pasteurized.,Inadequate agitation or foam formation.;Pasteurization - Vat/holder;All products are pasteurized.
0dtbZ0000002z05QAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V2tQAE,Overfilling causing foam to adhere to the lid.,Pasteurization - Vat/holder,All products are pasteurized.,Pasteurization - Vat/holder;Overfilling causing foam to adhere to the lid.;Pasteurization - Vat/holder;All products are pasteurized.,Overfilling causing foam to adhere to the lid.;Pasteurization - Vat/holder;All products are pasteurized.
0dtbZ0000002z06QAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V2uQAE,Airspace indicating thermometer - time accuracy.,Pasteurization - Vat/holder,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder;Airspace indicating thermometer - time accuracy.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.,Airspace indicating thermometer - time accuracy.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z07QAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V2vQAE,Incomplete records.,Pasteurization - Vat/holder,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder;Incomplete records.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.,Incomplete records.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z08QAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V2wQAE,Indicating thermometer inaccurate.,Pasteurization - Vat/holder,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder;Indicating thermometer inaccurate.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.,Indicating thermometer inaccurate.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z09QAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V2xQAE,Product indicating thermometer - time accuracy.,Pasteurization - Vat/holder,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder;Product indicating thermometer - time accuracy.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.,Product indicating thermometer - time accuracy.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0AQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V2yQAE,Recording thermometers inaccurate.,Pasteurization - Vat/holder,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder;Recording thermometers inaccurate.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.,Recording thermometers inaccurate.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0BQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V2zQAE,Recording Chart- time accuracy.,Pasteurization - Vat/holder,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder;Recording Chart- time accuracy.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.,Recording Chart- time accuracy.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0CQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V30QAE,Recording thermometer - time accuracy.,Pasteurization - Vat/holder,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder;Recording thermometer - time accuracy.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.,Recording thermometer - time accuracy.;Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0DQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V31QAE,Poor or unsanitary welds.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Poor or unsanitary welds.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Poor or unsanitary welds.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0EQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V32QAE,Inlet or outlet not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Inlet or outlet not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Inlet or outlet not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0FQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V33QAE,Valve(s) not operating correctly.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Valve(s) not operating correctly.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Valve(s) not operating correctly.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0GQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V34QAE,Covers not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Covers not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Covers not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0HQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V35QAE,Airspace heater temperature insufficient.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Airspace heater temperature insufficient.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Airspace heater temperature insufficient.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0IQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V36QAE,Airspace thermometer not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Airspace thermometer not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Airspace thermometer not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0JQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V37QAE,Indicating thermometer not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Indicating thermometer not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Indicating thermometer not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0KQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V38QAE,Recording chart not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Recording chart not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Recording chart not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0LQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V39QAE,Tank not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Tank not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Tank not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0MQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V3AQAU,Agitator not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Agitator not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Agitator not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0NQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V3BQAU,Spray ball not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Spray ball not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Spray ball not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0OQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V3CQAU,Procedures not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Procedures not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Procedures not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0PQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V3DQAU,Safety control test records not meeting requirements.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Safety control test records not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Safety control test records not meeting requirements.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0QQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V3EQAU,Not calibrated or serviced.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Not calibrated or serviced.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Not calibrated or serviced.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0RQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V3FQAU,Calibration report missing or incomplete.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;Calibration report missing or incomplete.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Calibration report missing or incomplete.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0SQAQ,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000V3GQAU,May contribute to contamination.,Pasteurization - Vat/holder,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - Vat/holder;May contribute to contamination.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","May contribute to contamination.;Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0TQAQ,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3HQAU,Temperature too low.,Pasteurization - HTST,All products are pasteurized.,Pasteurization - HTST;Temperature too low.;Pasteurization - HTST;All products are pasteurized.,Temperature too low.;Pasteurization - HTST;All products are pasteurized.
0dtbZ0000002z0UQAQ,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3IQAU,Processing time too short.,Pasteurization - HTST,All products are pasteurized.,Pasteurization - HTST;Processing time too short.;Pasteurization - HTST;All products are pasteurized.,Processing time too short.;Pasteurization - HTST;All products are pasteurized.
0dtbZ0000002z0VQAQ,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3JQAU,Flow diversion not meeting requirements.,Pasteurization - HTST,All products are pasteurized.,Pasteurization - HTST;Flow diversion not meeting requirements.;Pasteurization - HTST;All products are pasteurized.,Flow diversion not meeting requirements.;Pasteurization - HTST;All products are pasteurized.
0dtbZ0000002z0WQAQ,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3KQAU,Pressure differential not meeting requirements.,Pasteurization - HTST,All products are pasteurized.,Pasteurization - HTST;Pressure differential not meeting requirements.;Pasteurization - HTST;All products are pasteurized.,Pressure differential not meeting requirements.;Pasteurization - HTST;All products are pasteurized.
0dtbZ0000002z0XQAQ,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3LQAU,Cooling rate too slow.,Pasteurization - HTST,All products are pasteurized.,Pasteurization - HTST;Cooling rate too slow.;Pasteurization - HTST;All products are pasteurized.,Cooling rate too slow.;Pasteurization - HTST;All products are pasteurized.
0dtbZ0000002z0YQAQ,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3MQAU,"Records unclear, incomplete, or not available upon request.",Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,"Pasteurization - HTST;Records unclear, incomplete, or not available upon request.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.","Records unclear, incomplete, or not available upon request.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly."
0dtbZ0000002z0ZQAQ,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3NQAU,Clean-in-place cycles not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Clean-in-place cycles not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Clean-in-place cycles not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0aQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3OQAU,Daily recording thermometer check against indicating thermometer not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Daily recording thermometer check against indicating thermometer not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Daily recording thermometer check against indicating thermometer not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0bQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3PQAU,Daily cut in/cut out records not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Daily cut in/cut out records not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Daily cut in/cut out records not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0cQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3QQAU,Flow cut in (meter based timing system) issue.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Flow cut in (meter based timing system) issue.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Flow cut in (meter based timing system) issue.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0dQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3RQAU,Flow cut out (meter based timing system) issue.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Flow cut out (meter based timing system) issue.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Flow cut out (meter based timing system) issue.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0eQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3SQAU,High flow alarm details not recorded as required.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;High flow alarm details not recorded as required.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,High flow alarm details not recorded as required.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0fQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3TQAU,Holding time records - calculated method.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Holding time records - calculated method.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Holding time records - calculated method.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0gQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3UQAU,Holding time records - salt conductivity test.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Holding time records - salt conductivity test.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Holding time records - salt conductivity test.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0hQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3VQAU,Inadequate test records of safety controls.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Inadequate test records of safety controls.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Inadequate test records of safety controls.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0iQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3WQAU,Indicating thermometer inaccurate.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Indicating thermometer inaccurate.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Indicating thermometer inaccurate.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0jQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3XQAU,Loss of  signal alarm.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Loss of  signal alarm.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Loss of  signal alarm.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0kQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3YQAU,Manual diversion not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Manual diversion not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Manual diversion not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0lQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3ZQAU,Milk pump not adequately sealed.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Milk pump not adequately sealed.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Milk pump not adequately sealed.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0mQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3aQAE,Recorder controller not adequately sealed.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Recorder controller not adequately sealed.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Recorder controller not adequately sealed.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0nQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3bQAE,Recording thermometers inaccurate.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Recording thermometers inaccurate.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Recording thermometers inaccurate.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0oQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3cQAE,Response time not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Response time not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Response time not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0pQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3dQAE,Time delay interlock or relay not recorded.,Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST;Time delay interlock or relay not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.,Time delay interlock or relay not recorded.;Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.
0dtbZ0000002z0qQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3eQAE,Auxiliary pumps not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - HTST;Auxiliary pumps not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Auxiliary pumps not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0rQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3fQAE,Booster pump not suitably wired.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - HTST;Booster pump not suitably wired.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Booster pump not suitably wired.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0sQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3gQAE,Calibration report missing or incomplete.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - HTST;Calibration report missing or incomplete.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Calibration report missing or incomplete.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0tQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3hQAE,Clean-in-place pump not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - HTST;Clean-in-place pump not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Clean-in-place pump not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0uQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3iQAE,Cooling section not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - HTST;Cooling section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Cooling section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0vQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3jQAE,Constant level tank not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - HTST;Constant level tank not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Constant level tank not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0wQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3kQAE,Flow diversion valve or device not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - HTST;Flow diversion valve or device not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Flow diversion valve or device not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0xQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3lQAE,Glycol cooling section not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - HTST;Glycol cooling section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Glycol cooling section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0yQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3mQAE,Heating section not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - HTST;Heating section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Heating section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
0dtbZ0000002z0zQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000V3nQAE,Holding section not meeting requirements.,Pasteurization - HTST,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Pasteurization - HTST;Holding section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.","Holding section not meeting requirements.;Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions."
